played_at,track_name,artist_name,track_duration_ms,popularity,artist_genres,album_name,album_release_date,album_id,track_id,artist_ids,playlist_name,playlist_id
2024-08-25 13:02:17,Peach's Castle,Super Guitar Bros,89.986,25,vgm instrumental,Gentle Video Game Guitar Covers For Relaxation,2023-01-13,3A3eMADIxhnzAH0rZqAoUK,4Zj72tXhJjMRpkmBMVxsym,2WosnSaZPybvQfyGUvD3NX,CAFE MUSIC ~STUDIO GHIBLI Jazz & Bossa~,60AhOOwGhXsn5JD0cn6DsN
2024-08-25 13:00:46,U no Hane,Tomoki Hasegawa,86.28,48,,"TV Anime ""Nil Admirari no Tenbin"" Original Soundtrack",2018-08-20,34sfEjg7xXPV3C5dLrx6pX,1rayzToecNFPmAqDU9ESY8,3CAHwwuvqUrS9tO9a7yc3g,CAFE MUSIC ~STUDIO GHIBLI Jazz & Bossa~,60AhOOwGhXsn5JD0cn6DsN
2024-08-25 12:59:19,Beats Jazz,Cafe Music BGM channel,167.539,51,background music,Coffee & Jazz,2018-11-09,1dQDdZKvdJ5gNhUF56S8Qu,27Kam1zLncY5FDf06NaNeo,3yKoHgjtyenCOIRaD2Gghu,CAFE MUSIC ~STUDIO GHIBLI Jazz & Bossa~,60AhOOwGhXsn5JD0cn6DsN
2024-08-25 12:56:31,七時の食事(Chocolate Lemon),ミツキヨ,218.677,37,japanese vtuber,夢箱,2019-06-03,5h0z0KlN9PiEh5Ui5uoIsj,2Tf7jUzaybygDrW89UA1fh,2yzcoSqo3ZOCguk7T0Msa9,CAFE MUSIC ~STUDIO GHIBLI Jazz & Bossa~,60AhOOwGhXsn5JD0cn6DsN
2024-08-25 12:52:52,Lily of the Valley,Robin Appelqvist,247.71,38,anime score,Lily of the Valley,2022-04-01,4gyXu3g9oWl9XMha1HxtdX,7xMokLfGPxWjZJi0bZQkQ8,5ArPgd84uY441qGVWBIaPi,CAFE MUSIC ~STUDIO GHIBLI Jazz & Bossa~,60AhOOwGhXsn5JD0cn6DsN
2024-08-25 12:48:44,Going Home at 5 A.M. - Tokyo Lo-Fi HipHop Mix,Hikaru Shirosu,132.307,39,"anime score, japanese piano",Going Home at 5 A.M. (Tokyo Lo-Fi HipHop Mix),2019-08-12,0ViCYcWyjSvXTEQkgyuiBa,6XomlZ797wbKRS8h5PtAJd,3WJfB0QSAWAO283H19gL5a,CAFE MUSIC ~STUDIO GHIBLI Jazz & Bossa~,60AhOOwGhXsn5JD0cn6DsN
2024-08-25 12:46:32,A Cat Dances in the Full Moon,Jun Kaji,108.906,38,,The Other Half of the Moon,2015-10-21,6JgcSyBYfcqbIemyeeqEzu,6vLbfLWCvDzJ6KK859vIoG,6uurUV3RDTmmvc66wts1Re,CAFE MUSIC ~STUDIO GHIBLI Jazz & Bossa~,60AhOOwGhXsn5JD0cn6DsN
2024-08-25 12:44:42,Going Home,Axl Lee,180.0,27,,Going Home,2023-10-05,3bEmZGPRzgaarVqexzceQC,6r7wrdyR0PWfEYcbZ5zkTZ,0saPnB3KkJCMKybK4W6c5H,CAFE MUSIC ~STUDIO GHIBLI Jazz & Bossa~,60AhOOwGhXsn5JD0cn6DsN
2024-08-25 12:41:42,Peaceful,Cafe Music BGM channel,153.003,51,background music,Coffee & Jazz,2018-11-09,1dQDdZKvdJ5gNhUF56S8Qu,1dHbzdhZy1iIogqGFhCbDj,3yKoHgjtyenCOIRaD2Gghu,CAFE MUSIC ~STUDIO GHIBLI Jazz & Bossa~,60AhOOwGhXsn5JD0cn6DsN
2024-08-25 12:39:08,one summer's day ~ spirited away lofi,"Closed on Sunday, Tanoshi",104.9,41,"anime lo-fi, lo-fi cover",one summer's day ~ spirited away lofi,2020-03-01,2GP0ySK85sBLNKBDJ7Ktxs,04xkC5CKBydvocME5rVIki,"1LwjR2mIm78OJRTYdkMLl3, 6vHUuOIt6n6TjRfywPL6Tj",CAFE MUSIC ~STUDIO GHIBLI Jazz & Bossa~,60AhOOwGhXsn5JD0cn6DsN
2024-08-25 12:37:23,Makes Me Wonder,Ofelia Moore,95.267,22,,Halfway,2013-02-08,7qxLpaK8HUIHdRYAht52Xa,2P6ouV4T5S9ABscdFzwyYd,4CT8m0WT9lfWpM2ppffDtf,CAFE MUSIC ~STUDIO GHIBLI Jazz & Bossa~,60AhOOwGhXsn5JD0cn6DsN
2024-08-25 12:35:46,Tanpopo,Nawhij,135.781,41,,Daylight,2021-02-17,5MXMDPrhsG8qOEbIPTjHOi,4lIF72WbFRnUQUsEaw1ESC,19q3ynLrVGmmwrHjUMPbW1,CAFE MUSIC ~STUDIO GHIBLI Jazz & Bossa~,60AhOOwGhXsn5JD0cn6DsN
