played_at,track_name,artist_name,track_duration_ms,playlist_name,popularity,artist_genres,album_name,album_release_date,track_id,album_id,artist_ids,playlist_id
2024-08-26 23:17:01,unamerican beauty,XYLØ,270000,,22,"alt z, indie poptimism, la pop",unamerican beauty,2022-06-10,6QZtJumgFJwVrb7O3x1Zu7,2K6AB4euy0NOpVcKbr0OlN,6ioOEWNNGK40H8xrGj6XPW,
2024-08-26 23:20:18,The Fall,"The Chainsmokers, Ship Wrek",196021,,55,pop,So Far So Good,2022-06-08,5FvGI8KtImlEbOsvEW3pfX,4nZ4dv1XvDE25Lf2MFhOqA,"69GGBxA162lTqCwzJG5jLp, 1ic0FHNGIjXZAWH6O6Reif",
2024-08-26 23:23:08,Fall In Love With A Girl (feat. Orla Gartland),"Cavetown, Orla Gartland",168974,,48,"bedroom pop, indie pop, pov: indie",Fall In Love With A Girl (feat. Orla Gartland),2022-06-10,3oDm8bWMqVw2Hn4R8nYwyZ,4rhuxHJsNJdATS6PHxMvQ6,"2hR4h1Cao2ueuI7Cx9c7V8, 3ajf12ub55b51qcS94d9Co",
2024-08-26 23:26:46,Breakdown,Tessa Violet,218228,,26,"alt z, indie pop, pov: indie",Breakdown,2022-05-25,5ab5TaUCeTXEyEopmq4pjM,43TWpeulOdWVBsL8vpMdZi,5DD5GZd4ElmQTy9NleMvKJ,
2024-08-26 23:29:02,Speed Dial,HUNNY,135272,,20,"indie pop, pov: indie",Homesick,2022-11-18,3xnYQbfkVwxz2tRI1vDqgo,11HM6Bh33f02veTCxKm42q,5rebfYbZVIhbRVcRKWVOAh,
2024-08-26 23:32:41,No Time to Die,"ThatBehavior, Lunis",219636,,37,dark r&b,No Time to Die,2020-07-31,12jnMHc10gu1Nl0g2EsM3E,6vMp40CvuDpchQEETbEsjp,"5t9XxQeHFQ0dXRbbEK7MjB, 1YjaVTeHBlVRRxbk7H30HN",
2024-08-26 23:35:58,Mr. Disrespectful,The Fault State,195041,,0,,Mr. Disrespectful,2022-04-18,7nlI8mKYinF91XL0dvXfHf,2vEHuqeemePo6RW8mvr9wa,1gedzRwosHrdXrynRPoQeQ,
2024-08-26 23:38:54,Turku,"Kalevauva.fi, Loiriplukari",176340,,16,suomi rock,"Kaupunkilaulut, Vol. 1",2022-03-18,7N03llQpDDza7ON8GdAHca,6P27kcCU2HFOwBeSrpiK73,"1ioqNoEEWHqbpyjhe1LilZ, 7HPmt49axcjukEN1xmvlff",
2024-08-26 23:42:47,Tampere,"Kalevauva.fi, Waltteri Torikka",232258,,15,suomi rock,"Kaupunkilaulut, Vol. 1",2022-03-18,45enm0RLABTHTyyP9VzZEU,6P27kcCU2HFOwBeSrpiK73,"1ioqNoEEWHqbpyjhe1LilZ, 4meB8IsBXqEvtCEcB8l2xp",
2024-08-26 23:46:12,Pressure - Klischée Remix,"Klischée, Marina & The Kats",203933,,41,electro swing,Pressure (Klischée Remix),2022-03-11,7y7FwHBH5Al7M42rCtBF51,36ksrwcXMXLdmRMXoK92ie,"6qokeohfvbaNK1m0VfIEtB, 0XS8JS8Q3wHpxMQQ49Tiyg",
2024-08-26 23:47:22,SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),"Amaarae, Kali Uchis, Moliy",204763,,73,"afro r&b, afrobeats, alternative r&b, ghanaian alternative, ghanaian pop",SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),2021-09-16,09gysnJpfQ3ublBmJDfcEC,4q4rHdKxyCzxuQrPcdjPyC,"21UPYSRWFKwtqvSAnFnSvS, 1U1el3k54VvEUzo3ybLPlM, 2hVWBpjLW4Q7fboYz2pVYK",
