artist_name,genres,popularity,artist_id
Tessa Violet,"alt z, indie pop, pov: indie",51,5DD5GZd4ElmQTy9NleMvKJ
Eminem,"detroit hip hop, hip hop, rap",93,7dGJo4pcD2V6oG8kP0tJRR
AViVA,"alt z, vapor pop",58,50tDsT4wwq8FCMJNkn1D67
HUNNY,"indie pop, pov: indie",47,5rebfYbZVIhbRVcRKWVOAh
Caravan Palace,"electro swing, nu jazz",61,37J1PlAkhRK7yrZUtqaUpQ
Maustetytöt,"finnish indie, suomi rock",40,7JHNSkrbx2b0w8psFeVE4I
KUUMAA,"finnish dance pop, finnish pop",58,3YC5DVJDjyazvB8hxJSybr
Billie Eilish,"art pop, pop",95,6qqNVTkY8uBg9cP3Jd7DAH
Cafe Music BGM channel,background music,67,3yKoHgjtyenCOIRaD2Gghu
Halsey,"electropop, etherpop, indie poptimism, pop",81,26VFTg2z8YR0cCuwLzESi2
Paper Idol,,42,6dewigIOIcG6m1XGsG4Mc3
ConcernedApe,indie game soundtrack,59,2PqkSKtPxs112KDZdRXGO2
Twenty One Pilots,"modern rock, pop, pov: indie, rock",82,3YQKmKGau1PzlVlkL1iodx
The Chainsmokers,pop,82,69GGBxA162lTqCwzJG5jLp
Taylor Swift,pop,100,06HL4z0CvFAxyc27GXpf02
Tsundere Twintails,sillycore,51,4Rpi0HMTWTc9EQFdOPbRzY
Sabrina Carpenter,pop,92,74KM79TiuVKeVCqs8QtB0B
Lady Gaga,"art pop, dance pop, pop",87,1HY2Jd0NmPuamShAr6KMms
Britney Spears,"dance pop, pop",81,26dSoYclwsYLMAKD3tpOr4
Klischée,electro swing,41,6qokeohfvbaNK1m0VfIEtB
Swingrowers,electro swing,41,3mp5zzEz1qTq7X5a2yOS2B
Keko Salata,"finnish dance pop, finnish hip hop, finnish pop",45,18KcOgLds5SUgIpQIveiJN
BEHM,"finnish dance pop, finnish pop",54,3bAa4FKwIgwWYHdaUJicmE
Allie X,"alt z, canadian electropop, canadian pop, dark pop, electropop, metropopolis",53,0wnYgCeP013HkKoOyC5V32
POSEIDON,gym hardstyle,55,7Dq2NReQjrw6PJHSMCQQEi
SANNI,"finnish dance pop, finnish hip hop, finnish pop",49,7meg3neLTT2WR1LDjL8jze
Dua Lipa,"dance pop, pop, uk pop",88,6M2wZ9GZgrQXHCFfjv46we
Parra for Cuva,"deep euro house, downtempo, new french touch",61,238y1dKPtMeFEpX3Y6H1Vr
Veronica Maggio,swedish pop,66,2OIWxN9xUhgUHkeUCWCaNs
Irina,"finnish dance pop, finnish pop, iskelma, suomi rock",37,2UrciVPpHPc69m0FbRH08W
XYLØ,"alt z, indie poptimism, la pop",47,6ioOEWNNGK40H8xrGj6XPW
PEGGY,gen z singer-songwriter,54,1E6ADXoD9nUhFEwKgwjEdh
Imagine Dragons,"modern rock, pop, rock",88,53XhwfbYqKCa1cC15pYq2q
Avicii,"dance pop, edm, pop, pop dance",81,1vCWHaC5f2uS3yhpwWbIA6
Ellinoora,"finnish dance pop, finnish pop, iskelma, suomi rock",50,3c9CUpHeB5BCQOHp8uiPzY
League of Legends,"speedrun, video game music",76,47mIJdHORyRerp4os813jD
JVG,"finnish dance pop, finnish hip hop, finnish pop, finnish trap",57,55mdlQp6zN8zdyIYB9DDQj
Emei,"alt z, singer-songwriter pop",63,7E2aQQjErJocovYFjYLzWU
Black Eyed Peas,"dance pop, pop, pop rap",80,1yxSLGMDHlW21z4YXirZDS
Ashnikko,"alt z, escape room",67,3PyJHH2wyfQK3WZrk9rpmP
Orla Gartland,"indie pop, irish pop",51,3ajf12ub55b51qcS94d9Co
Atom Smith,electro swing,30,6ExlnA1FV2yvFCVlurHsc2
Scooter,"eurodance, german techno, hamburg electronic, happy hardcore",66,0HlxL5hisLf59ETEPM3cUA
Parov Stelar,"balkan beats, downtempo, electro swing, nu jazz",62,65EXuYHVoehCKqp0kOS6px
Madonna,"dance pop, pop",80,6tbjWDEIzxoDsBA1FuhfPW
Fox Stevenson,"complextro, dancefloor dnb, electro house",54,2BQWHuvxG4kMYnfghdaCIy
K.Flay,"escape room, hip pop, modern alternative rock",62,0pCNk4D3E2xtszsm6hMsWr
AURORA,"art pop, norwegian pop",74,1WgXqy2Dd70QQOU7Ay074N
David Guetta,"big room, dance pop, edm, pop, pop dance",90,1Cs0zKBU1kc0i8ypK3B9ai
Litku Klemetti,"finnish indie, suomi rock",32,3Z5GO6d7DMSBeSlNBophOR
