artist_name,genres,popularity,artist_id
Eminem,"detroit hip hop, hip hop, rap",93,7dGJo4pcD2V6oG8kP0tJRR
KUUMAA,"finnish dance pop, finnish pop",58,3YC5DVJDjyazvB8hxJSybr
ConcernedApe,indie game soundtrack,59,2PqkSKtPxs112KDZdRXGO2
Tessa Violet,"alt z, indie pop, pov: indie",51,5DD5GZd4ElmQTy9NleMvKJ
Caravan Palace,"electro swing, nu jazz",61,37J1PlAkhRK7yrZUtqaUpQ
Billie Eilish,"art pop, pop",95,6qqNVTkY8uBg9cP3Jd7DAH
Tsundere Twintails,sillycore,51,4Rpi0HMTWTc9EQFdOPbRzY
Cafe Music BGM channel,background music,67,3yKoHgjtyenCOIRaD2Gghu
Paper Idol,,42,6dewigIOIcG6m1XGsG4Mc3
Taylor Swift,pop,100,06HL4z0CvFAxyc27GXpf02
Parra for Cuva,"deep euro house, downtempo, new french touch",61,238y1dKPtMeFEpX3Y6H1Vr
PEGGY,gen z singer-songwriter,54,1E6ADXoD9nUhFEwKgwjEdh
Maustetytöt,"finnish indie, suomi rock",40,7JHNSkrbx2b0w8psFeVE4I
Dua Lipa,"dance pop, pop, uk pop",88,6M2wZ9GZgrQXHCFfjv46we
Fox Stevenson,"complextro, dancefloor dnb, electro house",54,2BQWHuvxG4kMYnfghdaCIy
Sabrina Carpenter,pop,92,74KM79TiuVKeVCqs8QtB0B
Emei,"alt z, singer-songwriter pop",63,7E2aQQjErJocovYFjYLzWU
Twenty One Pilots,"modern rock, pop, pov: indie, rock",82,3YQKmKGau1PzlVlkL1iodx
Lilith Max,,46,797SPxZf82IYq3XCM8c9AM
League of Legends,"speedrun, video game music",76,47mIJdHORyRerp4os813jD
AViVA,"alt z, vapor pop",58,50tDsT4wwq8FCMJNkn1D67
C418,"pixel, video game music",72,4uFZsG1vXrPcvnZ4iSQyrx
Ran the Man,,53,69lVKiR03uaDrGqEgOC2gu
HUNNY,"indie pop, pov: indie",47,5rebfYbZVIhbRVcRKWVOAh
Omori,video game music,62,4DoTDDfW3gkeyb06XrIHlg
Halsey,"electropop, etherpop, indie poptimism, pop",81,26VFTg2z8YR0cCuwLzESi2
Lady Gaga,"art pop, dance pop, pop",87,1HY2Jd0NmPuamShAr6KMms
Kesha,"dance pop, pop",79,6LqNN22kT3074XbTVUrhzX
Amélie Farren,,55,6xRbdqe7I2llmjw533rYnG
Chappell Roan,"indie pop, pov: indie",89,7GlBOeep6PqTfFi59PTUUN
Paris Paloma,singer-songwriter pop,65,2EXpthNgSeTDeX8nGwxppp
Klischée,electro swing,41,6qokeohfvbaNK1m0VfIEtB
Toby Fox,"indie game soundtrack, pixel",71,57DlMWmbVIf2ssJ8QBpBau
Charli xcx,"art pop, candy pop, metropopolis, pop, uk pop",89,25uiPmTg16RbhZWAqwLBy5
The Electric Swing Circus,electro swing,45,3MUnAJMKx97SfTZYNB2iXY
Riff Kitten,electro swing,32,2dWWUgJS0zdhV2Bu4WGF6a
Benson Boone,singer-songwriter pop,86,22wbnEMDvgVIAGdFeek6ET
Odd Chap,electro swing,35,2bUYKdepfgDuZiRQJdvooU
Atom Smith,electro swing,30,6ExlnA1FV2yvFCVlurHsc2
margø,alt z,46,2yClxSQHoqAeiYVhafSWKU
Lydia the Bard,,51,4dYuygkzjqrehCNZMTjkNJ
Silvester Belt,,48,2Tna85W7SvTboWMUSFilH6
Derek Fiechter,middle earth,55,01Er12nK5rrnHx8usFPJAs
Lucky Twice,bubblegum dance,50,3pthbcw421plaJoQeGMrjr
Imagine Dragons,"modern rock, pop, rock",88,53XhwfbYqKCa1cC15pYq2q
Cloudy June,alt z,53,5sBBS3CQNPDzmuTJjYwnpa
Anya Nami,,58,1A7NzAUPSwbUmfyGEmRM7h
Super Guitar Bros,vgm instrumental,54,2WosnSaZPybvQfyGUvD3NX
Yu-Peng Chen,japanese vgm,62,6CY7WNJfd5uZclcS3WeEjx
widerberg,melodic techno,45,6ob0DwL4uI6eR5i9cc5tNn
