artist_name,genres,popularity,artist_id
Eminem,"detroit hip hop, hip hop, rap",93,7dGJo4pcD2V6oG8kP0tJRR
Tessa Violet,"alt z, indie pop, pov: indie",51,5DD5GZd4ElmQTy9NleMvKJ
Tsundere Twintails,sillycore,51,4Rpi0HMTWTc9EQFdOPbRzY
Billie Eilish,"art pop, pop",95,6qqNVTkY8uBg9cP3Jd7DAH
Cafe Music BGM channel,background music,67,3yKoHgjtyenCOIRaD2Gghu
Dua Lipa,"dance pop, pop, uk pop",88,6M2wZ9GZgrQXHCFfjv46we
Caravan Palace,"electro swing, nu jazz",61,37J1PlAkhRK7yrZUtqaUpQ
Paper Idol,,42,6dewigIOIcG6m1XGsG4Mc3
Sabrina Carpenter,pop,92,74KM79TiuVKeVCqs8QtB0B
AViVA,"alt z, vapor pop",58,50tDsT4wwq8FCMJNkn1D67
Twenty One Pilots,"modern rock, pop, pov: indie, rock",82,3YQKmKGau1PzlVlkL1iodx
HUNNY,"indie pop, pov: indie",47,5rebfYbZVIhbRVcRKWVOAh
Lady Gaga,"art pop, dance pop, pop",87,1HY2Jd0NmPuamShAr6KMms
Halsey,"electropop, etherpop, indie poptimism, pop",81,26VFTg2z8YR0cCuwLzESi2
Kesha,"dance pop, pop",79,6LqNN22kT3074XbTVUrhzX
Charli xcx,"art pop, candy pop, metropopolis, pop, uk pop",89,25uiPmTg16RbhZWAqwLBy5
Lilith Max,,46,797SPxZf82IYq3XCM8c9AM
Chappell Roan,"indie pop, pov: indie",89,7GlBOeep6PqTfFi59PTUUN
Lydia the Bard,,51,4dYuygkzjqrehCNZMTjkNJ
Lucky Twice,bubblegum dance,50,3pthbcw421plaJoQeGMrjr
Emei,"alt z, singer-songwriter pop",63,7E2aQQjErJocovYFjYLzWU
Amélie Farren,,55,6xRbdqe7I2llmjw533rYnG
League of Legends,"speedrun, video game music",76,47mIJdHORyRerp4os813jD
PEGGY,gen z singer-songwriter,54,1E6ADXoD9nUhFEwKgwjEdh
Paris Paloma,singer-songwriter pop,65,2EXpthNgSeTDeX8nGwxppp
Grace Power,,40,5kiTZEnGddxglBPRbM6XqP
Cloudy June,alt z,53,5sBBS3CQNPDzmuTJjYwnpa
Anya Nami,,58,1A7NzAUPSwbUmfyGEmRM7h
margø,alt z,46,2yClxSQHoqAeiYVhafSWKU
EMELINE,alt z,58,4S38gbKfKkEbty2YAIDIlV
Sail North,,54,0Gtv3Wi6jj0lW1Po5QbIGS
MOTHICA,"alt z, vapor soul",56,1JhiIIXT9DWqEU3BYFZwGA
Odd Chap,electro swing,35,2bUYKdepfgDuZiRQJdvooU
Katy Perry,pop,85,6jJ0s89eD6GaHleKKya26X
Taylor Swift,pop,100,06HL4z0CvFAxyc27GXpf02
Artemas,,80,0PCCGZ0wGLizHt2KZ7hhA2
Imagine Dragons,"modern rock, pop, rock",88,53XhwfbYqKCa1cC15pYq2q
Rihanna,"barbadian pop, pop, urban contemporary",90,5pKCCKE2ajJHZ9KAiaK11H
Yann Tiersen,"compositional ambient, french soundtrack",64,00sazWvoTLOqg5MFwC68Um
Benson Boone,singer-songwriter pop,86,22wbnEMDvgVIAGdFeek6ET
Isabel LaRosa,"hyperpop, sped up",76,5arKwJZEvT5uKq4o0JfqR4
Atom Smith,electro swing,30,6ExlnA1FV2yvFCVlurHsc2
Britney Spears,"dance pop, pop",81,26dSoYclwsYLMAKD3tpOr4
Super Guitar Bros,vgm instrumental,54,2WosnSaZPybvQfyGUvD3NX
Fish in a Birdcage,pov: indie,61,3AFsnAC0H9hes71BeRypbq
Madilyn Mei,pov: indie,55,3MHgwXo5vVzHqGMKWRoLer
OneRepublic,"piano rock, pop",85,5Pwc4xIPtQLFEnJriah9YJ
Ariana Grande,pop,91,66CXWjxzNUsdJxJ2JdwvnR
Klischée,electro swing,41,6qokeohfvbaNK1m0VfIEtB
Madelline,hyperpop,47,7t6dcfG1BhMh3LTAXhxmeL
