track_name,artist_name,track_duration_ms,popularity,artist_genres,album_name,album_release_date,track_id,album_id,artist_ids
Will I Ever Love?,Anya Nami,130860,56,,Will I Ever Love?,2024-02-02,1h42H229e4oEo0BxfwIb4r,7irh20Gsy14fQoTngkDS5B,1A7NzAUPSwbUmfyGEmRM7h
Lemonade,Fox Stevenson,192917,43,"complextro, dancefloor dnb, electro house",Lemonade,2024-02-23,34URhzu6NVS1QiFfvkE1Q3,0E4HEys0ZdiGCO3hxaKvVd,2BQWHuvxG4kMYnfghdaCIy
Dirty Little Animals (From the series Arcane League of Legends),"BONES UK, Arcane, League of Legends",205188,54,slayer,Dirty Little Animals (From the series Arcane League of Legends),2021-11-13,2ZuDGsKSJpQdJmpknJ7ypF,2OGZHtCzPL6uk1kEPvFqIC,"16kd5X3pBMOtXdLlX5LcAw, 57nPqD7z62gDdq37US9XJR, 47mIJdHORyRerp4os813jD"
Red Flag,Cloudy June,148074,49,alt z,Red Flag,2023-10-13,0fNzU26XiTKY2lhmOpokgR,1Hefm7MGT5MeV0bvdDjZHc,5sBBS3CQNPDzmuTJjYwnpa
Feel Good (If It Was Easy),"Odd Chap, Elle & The Pocket Belles",209497,11,electro swing,Feel Good (If It Was Easy),2023-07-21,2r4RTDw9yS5f5ZgxK4C3nU,19BEjnIizZsrRRoNojv3Ui,"2bUYKdepfgDuZiRQJdvooU, 0MbDNDhsDB35CyvApzybJt"
Balling - LÄUFF Remix,"Vibe Chemistry, LÄUFF",260689,61,uk dance,Balling (LÄUFF Remix),2023-08-18,3PsQcSCxyOm5l96rQfEjVA,2VwGReme07lzMsGY5JHEXe,"1L5GuSYb4gktP74dqFkJpi, 5hJX0u5GJfdXV7hWGm7e73"
Houdini,Eminem,227239,89,"detroit hip hop, hip hop, rap",Houdini,2024-05-31,2HYFX63wP3otVIvopRS99Z,6Xuu2z00jxRPZei4IJ9neK,7dGJo4pcD2V6oG8kP0tJRR
HAUNTED,Isabel LaRosa,137851,64,"hyperpop, sped up",HAUNTED,2022-02-24,5ff77CZZUpY8Gvu5GuA6vb,4QhZwVQuNbbXtMgjp2Ngp2,5arKwJZEvT5uKq4o0JfqR4
Double Denim,SKYLAR,154043,42,,Double Denim,2022-10-14,0a7IyCuWkmn0emE09Eppy1,1PD55j69sO0Ml0IwBi0GMD,3JFpiBTgX5C0aIzePDlgXA
Animals,Call Me Karizma,131200,48,minnesota hip hop,Animals,2023-05-25,6ahe2frEbhctgsB30lHDwp,3UhL83nAIrGB188dxKzlsv,5fENlrINIVP0gJOtKxvORt
REMIX RUMBLE,"League of Legends, Steve Aoki",217807,44,"speedrun, video game music",REMIX RUMBLE (Steve Aoki Remix),2023-11-20,1AG7YrtmqKDQTe3wpBXKhp,1Dk05oKAHWIFyN5kIWlTQ5,"47mIJdHORyRerp4os813jD, 77AiFEVeAVj2ORpC85QVJs"
Sand,Dove Cameron,219586,51,pop,Alchemical: Volume 1,2023-12-01,7lcptQMdfkgUAQ3Ek83K5V,4kC5hseZbGaAjiJvr9Hk55,2W8yFh0Ga6Yf3jiayVxwkE
