track_name,artist_name,track_duration_ms,popularity,artist_genres,album_name,album_release_date,track_id,album_id,artist_ids
A Letter,Tsundere Twintails,178105,41,sillycore,A Letter,2023-06-20,5oKtK58Tl1Mk3r7BExrYcR,5B4Q7nx9OHnr8FSJXUP5nx,4Rpi0HMTWTc9EQFdOPbRzY
Brand New Dance,Eminem,206649,79,"detroit hip hop, hip hop, rap",The Death of Slim Shady (Coup De Grâce),2024-07-12,77pfjsq0gSZwO8bYVTVROo,3kjHLu1pL7tdY88GFwEkl6,7dGJo4pcD2V6oG8kP0tJRR
Love Song,Mausio,176142,31,tekk,Love Song,2023-04-07,2ekhJNuxeoQ9Q84dFtknP7,1V9nXTFcfUBCPq5hIGfoiU,5yzLRjAu6ni4Bb3fQDED2q
Will I Ever Love?,Anya Nami,130860,56,,Will I Ever Love?,2024-02-02,1h42H229e4oEo0BxfwIb4r,7irh20Gsy14fQoTngkDS5B,1A7NzAUPSwbUmfyGEmRM7h
Cry For Me,HUNNY,213706,41,"indie pop, pov: indie",Pain / Ache / Loving,2015-10-09,4tyJ6cRDQOQMeZLwMqFjax,6JnNMpc7Aekms1ly5U2OLq,5rebfYbZVIhbRVcRKWVOAh
Cute Circus,Tsundere Twintails,183050,57,sillycore,Cute Circus,2021-10-05,6l7jWmaWGBA1eD2glvB8Ds,3GHZjSzbKXeDevrcKWE5L7,4Rpi0HMTWTc9EQFdOPbRzY
Record Player,"Daisy the Great, AJR",149538,60,brooklyn indie,All You Need Is Time (Deluxe Edition),2022-10-27,7Gk8IPlFTLUcoIH3mtASI0,48cRveHwoBa5RQ4HbggHQ4,"0SrIPejckovMwhrN3MZFPB, 6s22t5Y3prQHyaHWUN1R1C"
makeout with a stranger,EMELINE,146061,49,alt z,makeout with a stranger,2023-10-06,24rQCVVkodhxba59O2dIEa,42S0dCBdR1Zpotj7sl6PRa,4S38gbKfKkEbty2YAIDIlV
Sand,Dove Cameron,219586,51,pop,Alchemical: Volume 1,2023-12-01,7lcptQMdfkgUAQ3Ek83K5V,4kC5hseZbGaAjiJvr9Hk55,2W8yFh0Ga6Yf3jiayVxwkE
FEMININE RAGE,PEGGY,147798,58,gen z singer-songwriter,DEAR READER,2024-04-26,08iDzwXKP72XYGnjXLSwW2,1JsRmuktjMsrdolUuZ5UMp,1E6ADXoD9nUhFEwKgwjEdh
