played_at,track_name,artist_name,album_name,genre,track_id,popularity
2024-08-21 23:57:49,Beautiful,Eminem,Relapse: Refill,"detroit hip hop, hip hop, rap",1HR2CTi0ytRJIcik1QKdOa,67
2024-08-21 23:51:16,Stay Wide Awake,Eminem,Relapse: Refill,"detroit hip hop, hip hop, rap",36YlVLEV1f2qredBFj8o2y,52
2024-08-21 23:45:54,We Made You,Eminem,Relapse: Refill,"detroit hip hop, hip hop, rap",4UMTp91LHhvW33ol9ZQH0Q,62
2024-08-21 23:41:25,Insane,Eminem,Relapse: Refill,"detroit hip hop, hip hop, rap",6x1stxDsnh4ZlEft29uhlR,53
2024-08-21 23:38:23,No Love,"Eminem, Lil Wayne",Recovery,"detroit hip hop, hip hop, rap",7bHT9osSq1rwT2yaImzqCi,69
2024-08-21 23:33:22,Cold Wind Blows,Eminem,Recovery,"detroit hip hop, hip hop, rap",3Tj1luJyKPQt7WbrqpJ2Az,57
2024-08-21 23:28:18,Space Bound,Eminem,Recovery,"detroit hip hop, hip hop, rap",0sHW1jXe6Sou3437gJQNGA,66
2024-08-21 23:23:40,Beautiful Pain,"Eminem, Sia",The Marshall Mathers LP2 (Deluxe),"detroit hip hop, hip hop, rap",7hiBhOh4s8G0xmGYBAjyuw,59
2024-08-21 23:19:14,Crack A Bottle,"Eminem, Dr. Dre, 50 Cent",Relapse: Refill,"detroit hip hop, hip hop, rap",4dK00wCxlqWEeN8BoM1BHT,69
2024-08-21 23:14:16,Hello,Eminem,Relapse: Refill,"detroit hip hop, hip hop, rap",7wuY9kPzREAC9OR7KScoli,50
