played_at,track_name,artist_name,album_name,genre,popularity,track_id
2024-08-22 00:04:00,Underground,Eminem,Relapse: Refill,"detroit hip hop, hip hop, rap",47,4jpi8FljkAwKFb4ljWuar6
2024-08-21 23:57:49,Beautiful,Eminem,Relapse: Refill,"detroit hip hop, hip hop, rap",67,1HR2CTi0ytRJIcik1QKdOa
2024-08-21 23:51:16,Stay Wide Awake,Eminem,Relapse: Refill,"detroit hip hop, hip hop, rap",52,36YlVLEV1f2qredBFj8o2y
2024-08-21 23:45:54,We Made You,Eminem,Relapse: Refill,"detroit hip hop, hip hop, rap",62,4UMTp91LHhvW33ol9ZQH0Q
2024-08-21 23:41:25,Insane,Eminem,Relapse: Refill,"detroit hip hop, hip hop, rap",53,6x1stxDsnh4ZlEft29uhlR
2024-08-21 23:38:23,No Love,"Eminem, Lil Wayne",Recovery,"detroit hip hop, hip hop, rap",69,7bHT9osSq1rwT2yaImzqCi
2024-08-21 23:33:22,Cold Wind Blows,Eminem,Recovery,"detroit hip hop, hip hop, rap",57,3Tj1luJyKPQt7WbrqpJ2Az
2024-08-21 23:28:18,Space Bound,Eminem,Recovery,"detroit hip hop, hip hop, rap",66,0sHW1jXe6Sou3437gJQNGA
2024-08-21 23:23:40,Beautiful Pain,"Eminem, Sia",The Marshall Mathers LP2 (Deluxe),"detroit hip hop, hip hop, rap",59,7hiBhOh4s8G0xmGYBAjyuw
2024-08-21 23:19:14,Crack A Bottle,"Eminem, Dr. Dre, 50 Cent",Relapse: Refill,"detroit hip hop, hip hop, rap",69,4dK00wCxlqWEeN8BoM1BHT
